suborder_code,undel,threepl,lqd
21120840006,(null),2016-12-08 18:12:57,(null)
21008090243,(null),2016-12-12 17:41:05,(null)
20889819535,(null),2016-11-25 16:00:39,(null)
20655254033,(null),2016-11-25 18:27:38,(null)
19857569639,(null),2016-11-05 18:11:27,(null)
20690461622,(null),2016-11-26 16:59:09,(null)
20690247058,(null),2016-11-25 17:29:08,(null)
21106400908,(null),2016-12-14 18:00:53,(null)
20966614222,(null),2016-12-05 16:21:11,(null)
20614151887,(null),2016-11-18 16:34:01,(null)
21155152098,(null),2016-12-15 16:44:35,(null)
20635997617,(null),2016-11-28 18:02:52,(null)
20420050231,(null),2016-11-14 19:00:14,(null)
21057991960,(null),2016-11-30 15:38:45,(null)
20325492353,(null),2016-11-08 17:26:40,(null)
20320870617,(null),2016-11-14 16:45:56,(null)
20045569346,(null),2016-11-23 16:01:16,(null)
21158688433,(null),2016-12-17 19:11:50,(null)
20730616754,(null),2016-12-02 17:20:26,(null)
20583385779,(null),2016-11-16 16:10:13,(null)
21396711297,(null),2016-12-22 18:31:55,(null)
20530996237,(null),2016-11-12 17:03:27,(null)
20894862789,(null),2016-12-06 15:41:54,(null)
20728099750,(null),2016-12-08 15:21:01,(null)
20850634848,(null),2016-11-26 17:34:02,(null)
20666369150,(null),2016-11-18 18:19:19,(null)
20100075648,(null),2016-11-15 18:57:50,(null)
20453995777,(null),2016-11-14 18:19:37,(null)
21222043492,(null),2016-12-19 18:54:41,(null)
21331079266,(null),2016-12-17 16:42:36,(null)
20495506829,(null),2016-11-21 19:17:30,(null)
21347580775,(null),2016-12-20 17:40:57,(null)
20519656219,(null),2016-12-03 17:30:20,(null)
20649457606,(null),2016-11-18 16:40:19,(null)
19801583617,(null),2016-11-12 15:38:27,(null)
21596510440,(null),2016-12-26 17:58:35,(null)
20997827628,(null),2016-11-30 18:14:43,(null)
20492730540,(null),2016-11-05 19:28:42,(null)
21167232475,(null),2016-12-13 17:54:08,(null)
