20469822516	,OOS	,2016-11-25 18:10:12	,2016-11-25 18:10:12
20467049036	,OOS	,2016-11-25 18:10:12	,2016-11-25 18:10:12
20464850609	,OOS	,2016-11-25 18:10:12	,2016-11-25 18:10:12
20462210957	,OOS	,2016-11-25 18:10:12	,2016-11-25 18:10:12
20460538894	,OOS	,2016-11-25 18:10:11	,2016-11-25 18:10:11
20453077796	,OOS	,2016-11-25 18:10:11	,2016-11-25 18:10:11
20449415619	,OOS	,2016-11-25 18:10:11	,2016-11-25 18:10:11
20447384644	,OOS	,2016-11-25 18:10:11	,2016-11-25 18:10:11
20444762839	,OOS	,2016-11-25 18:10:10	,2016-11-25 18:10:11
20443756595	,OOS	,2016-11-25 18:10:10	,2016-11-25 18:10:10
20442750395	,OOS	,2016-11-25 18:10:10	,2016-11-25 18:10:10
20439474767	,OOS	,2016-11-25 18:10:10	,2016-11-25 18:10:10
20435009707	,OOS	,2016-11-25 18:10:10	,2016-11-25 18:10:10
20430110482	,OOS	,2016-11-25 18:10:09	,2016-11-25 18:10:09
20428390657	,OOS	,2016-11-25 18:10:07	,2016-11-25 18:10:09
20424047247	,OOS	,2016-11-25 18:10:07	,2016-11-25 18:10:07
20419799717	,OOS	,2016-11-25 18:10:07	,2016-11-25 18:10:07
20419759134	,OOS	,2016-11-25 18:10:07	,2016-11-25 18:10:07
20418745318	,OOS	,2016-11-25 18:10:06	,2016-11-25 18:10:07
20408307524	,OOS	,2016-11-25 18:10:06	,2016-11-25 18:10:06
20405733003	,OOS	,2016-11-25 18:10:06	,2016-11-25 18:10:06
20394696639	,OOS	,2016-11-25 18:10:06	,2016-11-25 18:10:06
20388726549	,OOS	,2016-11-25 18:10:06	,2016-11-25 18:10:06
20381923896	,OOS	,2016-11-25 18:10:05	,2016-11-25 18:10:06
20375549623	,OOS	,2016-11-25 18:10:05	,2016-11-25 18:10:05
20366181855	,OOS	,2016-11-25 18:10:05	,2016-11-25 18:10:05
20363666736	,OOS	,2016-11-25 18:10:05	,2016-11-25 18:10:05
20362066124	,OOS	,2016-11-25 18:10:05	,2016-11-25 18:10:05
20355506625	,OOS	,2016-11-25 18:10:04	,2016-11-25 18:10:04
20352828159	,OOS	,2016-11-25 18:10:04	,2016-11-25 18:10:04
20346391654	,OOS	,2016-11-25 18:10:04	,2016-11-25 18:10:04
20322297580	,OOS	,2016-11-25 18:10:04	,2016-11-25 18:10:04
20309439385	,OOS	,2016-11-25 18:10:03	,2016-11-25 18:10:04
